           Temperature
 Wind |    40    35    30    25    20    15    10     5     0    -5   -10   -15
------+------------------------------------------------------------------------
    5 |    36    31    25    19    13     7     1    -5   -11   -16   -22   -28
   10 |    34    27    21    15     9     3    -4   -10   -16   -22   -28   -35
   15 |    32    25    19    13     6    -0    -7   -13   -19   -26   -32   -39
   20 |    30    24    17    11     4    -2    -9   -15   -22   -29   -35   -42
   25 |    29    23    16     9     3    -4   -11   -17   -24   -31   -37   -44
   30 |    28    22    15     8     1    -5   -12   -19   -26   -33   -39   -46
   35 |    28    21    14     7     0    -7   -14   -21   -27   -34   -41   -48
   40 |    27    20    13     6    -1    -8   -15   -22   -29   -36   -43   -50
   45 |    26    19    12     5    -2    -9   -16   -23   -30   -37   -44   -51
   50 |    26    19    12     4    -3   -10   -17   -24   -31   -38   -45   -52
   55 |    25    18    11     4    -3   -11   -18   -25   -32   -39   -46   -54
   60 |    25    17    10     3    -4   -11   -19   -26   -33   -40   -48   -55
